location,date,time,precipitation(mm),air_pressure(hPa),temperature(˚C),humidity(%),wind(m/s)
Chicago ,2022-01-01,12:00:00 AM,0,1021.9,-9.1,56.3,4
Chicago ,2022-01-01,1:00:00 AM,0,1022.4,-6.8,42.2,4
Chicago ,2022-01-01,2:00:00 AM,0,1022.3,-4.3,37,2
Chicago ,2022-01-01,3:00:00 AM,0,1021.4,-2.3,34.1,2
Chicago ,2022-01-01,4:00:00 AM,0,1020.3,-0.1,32.1,3
Chicago ,2022-01-01,5:00:00 AM,0,1019.1,1.3,32,4
Chicago ,2022-01-01,6:00:00 AM,0,1018.5,1.9,35.1,3
Chicago ,2022-01-01,7:00:00 AM,0,1018.4,1.8,37.1,3
Chicago ,2022-01-01,8:00:00 AM,0,1018.5,0.5,37.9,3
Chicago ,2022-01-01,9:00:00 AM,0,1018.2,-0.9,42,1
Chicago ,2022-01-01,10:00:00 AM,0,1018.2,-1.2,45,2
Chicago ,2022-01-01,11:00:00 AM,0,1017.8,-1.6,47.1,2
Chicago ,2022-01-01,12:00:00 PM,0,1017.5,-2.4,49.2,4
Chicago ,2022-01-01,1:00:00 PM,0,1017.4,-2.5,49.2,2
Chicago ,2022-01-01,2:00:00 PM,0,1017.1,-2.6,52,2
Chicago ,2022-01-01,3:00:00 PM,0,1016.3,-2.8,54.9,4
Chicago ,2022-01-01,4:00:00 PM,0,1015.8,-2.9,57.1,4
Chicago ,2022-01-01,5:00:00 PM,0,1015.3,-2.6,57.2,4
Chicago ,2022-01-01,6:00:00 PM,0,1015.1,-2.1,56,5
Chicago ,2022-01-01,7:00:00 PM,0,1014.3,-1.9,55.2,4
Chicago ,2022-01-01,8:00:00 PM,0,1013.6,-1.9,56,4
Chicago ,2022-01-01,9:00:00 PM,0,1014.1,-1.9,66,5
Chicago ,2022-01-01,10:00:00 PM,0,1014.3,-2.2,81.1,4
Chicago ,2022-01-01,11:00:00 PM,0,1014.6,-2.2,82.9,4
Chicago ,2022-01-02,12:00:00 AM,0,1015.4,-1.9,82.4,3
Chicago ,2022-01-02,1:00:00 AM,0,1016.2,-0.8,81.3,1
Chicago ,2022-01-02,2:00:00 AM,0,1016.7,0,80.2,6
Chicago ,2022-01-02,3:00:00 AM,0,1016.3,1.4,74.1,5
Chicago ,2022-01-02,4:00:00 AM,0,1015.7,1.4,67.3,7
Chicago ,2022-01-02,5:00:00 AM,0,1015,2.4,55.1,7
Chicago ,2022-01-02,6:00:00 AM,0,1015.1,2.5,46.2,6
Chicago ,2022-01-02,7:00:00 AM,0,1015.3,2.5,45.1,6
Chicago ,2022-01-02,8:00:00 AM,0,1015.6,1.2,45.1,5
Chicago ,2022-01-02,9:00:00 AM,0,1016.1,-0.5,40.1,6
Chicago ,2022-01-02,10:00:00 AM,0,1016.8,-1.6,41.1,4
Chicago ,2022-01-02,11:00:00 AM,0,1016.7,-2.6,46.1,3
Chicago ,2022-01-02,12:00:00 PM,0,1016.9,-2.9,47.9,5
Chicago ,2022-01-02,1:00:00 PM,0,1017.2,-3.8,49.2,4
Chicago ,2022-01-02,2:00:00 PM,0,1017.3,-4.4,48.2,6
Chicago ,2022-01-02,3:00:00 PM,0,1016.8,-5.2,51.2,3
Chicago ,2022-01-02,4:00:00 PM,0,1016.9,-5.8,51.9,4
Chicago ,2022-01-02,5:00:00 PM,0,1016.9,-6.4,56.1,3
Chicago ,2022-01-02,6:00:00 PM,0,1016.9,-7,59.3,3
Chicago ,2022-01-02,7:00:00 PM,0,1016.6,-7.2,61.2,3
Chicago ,2022-01-02,8:00:00 PM,0,1016.5,-7.4,59.2,1
Chicago ,2022-01-02,9:00:00 PM,0,1016.4,-7.8,55.3,4
Chicago ,2022-01-02,10:00:00 PM,0,1016.3,-7.7,54,4
Chicago ,2022-01-02,11:00:00 PM,0,1017.1,-7.6,55.4,3
Chicago ,2022-01-03,12:00:00 AM,0,1017.2,-6.9,55.1,3
Chicago ,2022-01-03,3:00:00 PM,0,1013.8,0.7,81.5,3
Chicago ,2022-01-03,9:00:00 PM,0,1016.8,-3.6,73.2,5
Chicago ,2022-01-04,12:00:00 AM,0,1018.1,-4.3,73,7
Chicago ,2022-01-04,1:00:00 AM,0,1018.3,-3.5,66.2,5
Chicago ,2022-01-04,2:00:00 AM,0,1018.1,-1.9,55.2,6
Chicago ,2022-01-04,3:00:00 AM,0,1017.5,-0.6,45.2,5
Chicago ,2022-01-04,4:00:00 AM,0,1016.9,-0.5,43.1,6
Chicago ,2022-01-04,5:00:00 AM,0,1016.5,0,37.2,7
Chicago ,2022-01-04,6:00:00 AM,0,1016.5,0.9,32.1,7
Chicago ,2022-01-04,7:00:00 AM,0,1016.9,0.7,29,6
Chicago ,2022-01-04,8:00:00 AM,0,1017.1,-0.4,28.9,5
Chicago ,2022-01-04,9:00:00 AM,0,1017.3,-1.7,31,4
Chicago ,2022-01-04,10:00:00 AM,0,1017.5,-2.6,35.2,1
Chicago ,2022-01-04,11:00:00 AM,0,1017.7,-2.5,34,5
Chicago ,2022-01-04,12:00:00 PM,0,1017.9,-3.5,37,2
Chicago ,2022-01-04,1:00:00 PM,0,1017.7,-4.4,40.9,2
Chicago ,2022-01-04,2:00:00 PM,0,1018,-5.1,42.1,3
Chicago ,2022-01-04,3:00:00 PM,0,1018.5,-5.6,45.2,3
Chicago ,2022-01-04,4:00:00 PM,0,1018.1,-6,48.1,3
Chicago ,2022-01-04,5:00:00 PM,0,1018.2,-6.6,49.2,4
Chicago ,2022-01-04,6:00:00 PM,0,1018.5,-7,52,2
Chicago ,2022-01-04,7:00:00 PM,0,1018,-7.2,51.9,4
Chicago ,2022-01-04,8:00:00 PM,0,1017.8,-7.3,54.1,3
Chicago ,2022-01-04,9:00:00 PM,0,1018.1,-7.6,55.4,5
Chicago ,2022-01-04,10:00:00 PM,0,1017.9,-7.7,57.2,4
Chicago ,2022-01-04,11:00:00 PM,0,1018.2,-7.5,58.2,5
Chicago ,2022-01-05,12:00:00 AM,0,1018,-6.4,56.1,2
Chicago ,2022-01-05,1:00:00 AM,0,1018.3,-4.4,50.2,3
Chicago ,2022-01-05,2:00:00 AM,0,1018.3,-2.4,46.1,3
Chicago ,2022-01-05,3:00:00 AM,0,1017.4,-0.6,41.1,4
Chicago ,2022-01-05,4:00:00 AM,0,1016.1,0.5,37,4
Chicago ,2022-01-05,5:00:00 AM,0,1015.7,1.3,34.9,4
Chicago ,2022-01-05,6:00:00 AM,0,1015.4,1.7,35.9,3
Chicago ,2022-01-05,7:00:00 AM,0,1015.1,1.8,36,3
Chicago ,2022-01-05,8:00:00 AM,0,1015.6,1.4,37.9,2
Chicago ,2022-01-05,9:00:00 AM,0,1015.7,0.7,42.1,4
Chicago ,2022-01-05,10:00:00 AM,0,1016,0.1,42,3
Chicago ,2022-01-05,11:00:00 AM,0,1016,-0.6,44.2,3
Chicago ,2022-01-05,12:00:00 PM,0,1016.3,-1,46.2,4
Chicago ,2022-01-05,1:00:00 PM,0,1016.6,-1.3,46.1,4
Chicago ,2022-01-05,2:00:00 PM,0,1016.4,-1.9,48.2,2
Chicago ,2022-01-05,3:00:00 PM,0,1016.1,-2.5,53.3,3
Chicago ,2022-01-05,4:00:00 PM,0,1015.9,-3.1,53.1,3
Chicago ,2022-01-05,5:00:00 PM,0,1015.7,-3.7,55.1,2
Chicago ,2022-01-05,6:00:00 PM,0,1016.3,-4.5,59,3
Chicago ,2022-01-05,7:00:00 PM,0,1016.3,-4.8,62.3,4
Chicago ,2022-01-05,8:00:00 PM,0,1016.3,-4.6,62.3,5
Chicago ,2022-01-05,9:00:00 PM,0,1016.8,-5.4,60.2,4
Chicago ,2022-01-05,10:00:00 PM,0,1017.6,-5.5,60.2,3
Chicago ,2022-01-05,11:00:00 PM,0,1018.1,-5.9,62,5
Chicago ,2022-01-06,12:00:00 AM,0,1018.6,-5.1,62.2,4
Chicago ,2022-01-06,1:00:00 AM,0,1019.2,-3,53.1,4
Chicago ,2022-01-06,2:00:00 AM,0,1019.1,-1.1,40.9,5
Chicago ,2022-01-06,3:00:00 AM,0,1018.3,0.3,34.9,7
Chicago ,2022-01-06,4:00:00 AM,0,1017.4,1.7,33.1,8
Chicago ,2022-01-06,5:00:00 AM,0,1017.1,2.8,31.1,8
Chicago ,2022-01-06,6:00:00 AM,0,1016.9,2.8,31.1,5
Chicago ,2022-01-06,7:00:00 AM,0,1017,3.1,31,3
Chicago ,2022-01-06,8:00:00 AM,0,1017.5,2,33,4
Chicago ,2022-01-06,9:00:00 AM,0,1018.1,0.7,35,4
Chicago ,2022-01-06,10:00:00 AM,0,1018.7,0,37.2,6
Chicago ,2022-01-06,11:00:00 AM,0,1018.9,-1.2,40.9,3
Chicago ,2022-01-06,12:00:00 PM,0,1019.2,-1.9,43.1,3
Chicago ,2022-01-06,1:00:00 PM,0,1019.5,-2.7,47.2,3
Chicago ,2022-01-06,2:00:00 PM,0,1019.6,-3.4,50.1,3
Chicago ,2022-01-06,3:00:00 PM,0,1019.6,-4.2,51.9,3
Chicago ,2022-01-06,4:00:00 PM,0,1019.6,-4.5,54,2
Chicago ,2022-01-06,5:00:00 PM,0,1019.8,-4.8,57,2
Chicago ,2022-01-06,6:00:00 PM,0,1020,-5,56.1,2
Chicago ,2022-01-06,7:00:00 PM,0,1019.9,-5.3,58.3,1
Chicago ,2022-01-06,8:00:00 PM,0,1019.9,-5.4,57.3,3
Chicago ,2022-01-06,9:00:00 PM,0,1020,-5.7,59.1,3
Chicago ,2022-01-06,10:00:00 PM,0,1020.3,-5.8,62,3
Chicago ,2022-01-06,11:00:00 PM,0,1020.4,-5.8,64.1,3
Chicago ,2022-01-07,12:00:00 AM,0,1020.7,-5.3,63.2,3
Chicago ,2022-01-07,1:00:00 AM,0,1020.8,-3,58.9,2
Chicago ,2022-01-07,2:00:00 AM,0,1020.4,0.3,48.1,2
Chicago ,2022-01-07,3:00:00 AM,0,1019.4,1.9,37.2,5
Chicago ,2022-01-07,4:00:00 AM,0,1018.7,2.5,32.1,3
Chicago ,2022-01-07,5:00:00 AM,0,1018.1,3.7,24,5
Chicago ,2022-01-07,6:00:00 AM,0,1017.7,4.2,24,4
Chicago ,2022-01-07,7:00:00 AM,0,1017.6,4.4,21,5
Chicago ,2022-01-07,8:00:00 AM,0,1017.5,2.8,25,4
Chicago ,2022-01-07,9:00:00 AM,0,1017.6,1.4,33,4
Chicago ,2022-01-07,10:00:00 AM,0,1017.9,0.3,41,3
Chicago ,2022-01-07,11:00:00 AM,0,1018.1,-0.5,46,3
Chicago ,2022-01-07,12:00:00 PM,0,1018,-1.3,49.9,4
